
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C2:E3:FB:A3:02:D8, 2025-05-19 09:42:43, 2025-05-19 09:44:55,  5, 360, WPA3 WPA2, CCMP, SAE, -27,      290,        4,   0.  0.  0.  0,  21, SUPERONLINE_WiFi_82AA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
74:B8:DC:C9:4A:0B, 2025-05-19 09:42:43, 2025-05-19 09:44:29,   0,       12, C2:E3:FB:A3:02:D8,
0A:83:87:64:EE:69, 2025-05-19 09:42:43, 2025-05-19 09:43:58,   0,        7, C2:E3:FB:A3:02:D8,
A0:A0:3B:EB:98:15, 2025-05-19 09:42:43, 2025-05-19 09:44:29,   0,       13, C2:E3:FB:A3:02:D8,
45:01:D8:38:13:57, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
55:BB:F4:94:73:C7, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
9D:DA:7F:DE:4E:7D, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
1B:4C:BF:81:05:1D, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
32:BE:C4:AB:6D:80, 2025-05-19 09:42:43, 2025-05-19 09:44:29,   0,       10, C2:E3:FB:A3:02:D8,
C1:70:36:63:B5:18, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
8D:61:35:E1:EF:8D, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
B7:0E:47:3C:D2:39, 2025-05-19 09:42:43, 2025-05-19 09:42:43,   0,        1, C2:E3:FB:A3:02:D8,
41:F8:B5:78:BC:4B, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
C7:E6:06:6B:13:BD, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
E9:10:95:0D:0F:84, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
C8:4A:39:AF:A4:F9, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
3E:2E:EB:99:AC:DB, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
FE:F3:3F:09:8C:DD, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
CB:8D:BF:9C:68:64, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
81:FE:74:EE:06:85, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
B1:A4:B9:DB:05:BD, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
11:15:9C:A3:6C:A2, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
A6:FB:B0:C2:C7:21, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
E4:F6:70:56:44:85, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -55,        1, C2:E3:FB:A3:02:D8,
5C:4C:F9:24:EE:D5, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -55,        1, C2:E3:FB:A3:02:D8,
7E:01:A8:4E:56:6B, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
0F:B6:5C:9A:F0:C7, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
2A:96:3B:79:BE:D7, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
41:98:E2:DD:41:E5, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
85:30:81:65:53:D5, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
40:24:39:2F:3F:C5, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
D0:83:ED:F6:8B:F9, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
D3:3D:D7:43:DF:8E, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
59:1C:EC:CF:F6:9B, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
92:A6:48:BD:5F:9D, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
7C:DA:EE:2E:D6:CE, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
44:4B:DE:97:4A:37, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
11:EB:C0:4E:C4:0F, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
2F:4B:9B:49:A4:20, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -63,        1, C2:E3:FB:A3:02:D8,
C5:E8:A0:AB:34:CD, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
B7:B4:A9:31:80:C9, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
36:8B:14:55:D5:45, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
29:1A:C4:9E:27:3E, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
FE:26:61:2F:F9:F4, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -61,        1, C2:E3:FB:A3:02:D8,
11:86:8C:9C:3B:7E, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -61,        1, C2:E3:FB:A3:02:D8,
D3:E3:D2:D0:C7:1B, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -61,        1, C2:E3:FB:A3:02:D8,
0D:C5:19:76:6A:4D, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -61,        1, C2:E3:FB:A3:02:D8,
60:FF:21:82:D4:15, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -61,        1, C2:E3:FB:A3:02:D8,
8F:B1:01:F1:6F:88, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -61,        1, C2:E3:FB:A3:02:D8,
0E:8D:11:E4:BD:35, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
6F:13:56:57:23:EA, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
D6:1B:F7:9E:8F:D0, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
4D:4B:96:0D:69:09, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
F9:32:D8:28:7F:06, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
CD:EB:2E:C1:AD:A7, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
DB:71:4B:73:DB:A0, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
82:2D:AF:72:CC:0B, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -27,        1, C2:E3:FB:A3:02:D8,
2A:EC:59:6B:E1:9F, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -27,        1, C2:E3:FB:A3:02:D8,
22:DD:F0:ED:17:51, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -27,        1, C2:E3:FB:A3:02:D8,
25:4E:51:DF:FC:0A, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -27,        1, C2:E3:FB:A3:02:D8,
F6:B9:6F:DC:E7:7C, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -27,        1, C2:E3:FB:A3:02:D8,
53:88:BD:04:55:5B, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
01:EC:B1:21:E4:31, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
2B:FF:2A:03:44:8F, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -25,        1, C2:E3:FB:A3:02:D8,
2F:6E:B2:AC:B1:D3, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -29,        1, C2:E3:FB:A3:02:D8,
4B:D4:D7:F3:47:E4, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -29,        1, C2:E3:FB:A3:02:D8,
91:6C:BB:E5:4E:99, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -29,        1, C2:E3:FB:A3:02:D8,
61:67:7F:BC:06:F2, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -29,        1, C2:E3:FB:A3:02:D8,
13:69:5C:61:96:EA, 2025-05-19 09:42:43, 2025-05-19 09:42:43, -55,        1, C2:E3:FB:A3:02:D8,
